review,sentiment
We all know these are the best in the industry - very quick transfers and very nice results from these micro's.,1
I remember when I built computers that had 5' x 3' 2GB hard drives; and by now most have Googled to learn of the room sized computers with basketball sized transistors.Micro computer; how long before our entire life will fit on something smaller than the point of a needle . . .?This SDXC disk has worked well with my Nokia Lumia Windows 8 phone. My wife has one in her Android phone and with kids taking pictures and making movies 64GB is starting to look like to little an amount of storage.,1
Excellent card. It is currently installed in my Samsung GS3 and works flawlessly. Highly recommended but make sure your phone/device will handle the size; some don't like cards &#62; 16GB.,1
Their delivery sucks their customer service has dropped pathetic customer service very rude delivery guys who have no manners how to speak to women I will never order from KFC again.Really if you continue to misbehave & ill treat your customers you will pay for it & you will be chucked out of India like Mac Donalds okay never threaten your customers you guys are disgusting.Will never order from you again & I hope you shut down because you do not respect your customers any more.Pathetic & Disgusted with KFC.,0
Pizza is not cooked properly. Worst pizza I ever had. Not expected from Dominos. Can I replace???,0
"I don't understand if they don't want to deliver why kfc shows as available.
Everytime I place order most of the time it get declined after payment. I am not worried about refund as it comes but Food is all about cravings and I did order very hopefully but disappointed in the end
Food is always good from KFC but delivery service is worst",0
Using this is my Surface Pro. Works great. &#128522; You have to Love Amazon,1
"I have ordered food online, Veg Chilly Garlic Noodles and Honey Chilly Potato. The taste was pathetic. In chilli garlic noodles, there was no garlic. And Honey potato noodles, they have made French fries and put a sweet syrup on it. Looks like chief does not know how to cook this dish.",0
I use this with my samsung galaxy note 3 and it performs pretty darn well. Write and read speed safe good and it stores all my photos no prob.,1
"While SanDisk's packaging makes much mention of Android phones and tablets, there's nothing Android-specific about this microSDHC card. I bought the 32GB version to use in an automotive ""dashcam"", where it works perfectly.The packaging also says that an Android app is ""included"", suggesting it is preinstalled on the card, but the (very!) fine print on the back says you have to download it. Unlike another SanDisk flash product I got recently, there was no ""bloatware"" preinstalled on the card.I like that this card is also said to be resistant to temperature extremes, important to me as it will be behind a car windshield and will get hot at times.",1
"I had ordered chicken dum biriyani...There is no chicken dum inside it also the chicken pieces are very small in size . I would also suggest to work on your food packaging ..
Very much disappointed with the quality of food.",0
Gave my galaxy S4 plenty of memory and at a good price. I had a problem with my first one but Amazon sent me a replacement next day which worked perfectly.  I would recommend this to anybody.,1
"I wasn't expecting great transfer times like I get with nice compact flash cards, but this card is closer to those than the last generation of SD.  Wow.",1
"what the fuck...i did order 4 butter rotis and u sent 4 normal roti...and matar paneer was uneatable.
disappointed",0
Great place to spend time. Nice ambience and music. I am an automobile enthusiast and this place is really nice. Super cars and bikes on rent are parked outside. The fruit cakes and coffee flavours are also nice. Some variety of drinks are not available at timea which is a turn down. But good place to relax and sip coffee.,1
"I have ordered tangdi kabab, I think being late nitr order this people have packed mixed chicken pieces, I got 2 tandoori 1 biryani leg pieces and one tangdi piece. I request restaurant plz don't accept orders if you don't have enough food.don't try to fool people.business success depends on trust and quality I think u should understand it.",0
"It was our first visit to indigrill and definitely we had a very very good experience here. The food the served was tast amazing. Really enjoyed a lot. The guy Raza,sakil and ekrabul served us best.. keep it up team.",1
"I got this card only a few months ago, used it on a Note 3, now it has failed. No matter what I try, attempts to format the drive or edit the files on it, whether using my computer or the phone, have all failed. The card's data is now essentially read-only, which is the only saving grace of this since I could at least save my data.Previous to this I had an issue with it corrupting photos randomly, with increasing regularity as it grew closer to complete failure. I am now going to be avoiding SanDisk when possible",0
"I already had a SanDisk 16GB Class 4 card in my Android phone. Here is how you know this is faster: I'd press the Play button for the music player with the Class 4 and there was always a small delay before the music played. With this 32GB SanDisk Ultra, the music plays immediately. This is a very useful way to tell how fast this is. This memory card gets my Approval and my Thanks to SanDisk!",1
"Just the name of Biryani and Hyderabadis get hunger pangs! And so did we when we heard about Biryanis and more at Gachibowli for a food tasting session! Biryanis and more is a popular name in the food industry with its branches in USA as well, they are trying to spread the love for biryani across the globe with their lipsmacking varieties of biryani! And after a a few outlets in Hyderabad the newest was opened in Gachibowli opposite to Nissan Showroom or opposite to Biodiversity complex! The place is very easy to locate! Though a small outlet but yet incredible! Simple interiors with the place efficiently used for the seating! The staff was really friendly and attentive and a special mention to a staff member Sudhir who took good care of us right from the moment we entered to the time we left! ✌🏻 We being completely unaware of the menu thought that this place would be just about Biryanis...but to Our surprise this place serves variety of other dishes which are really appetizing! We started off with the shakes, we were served the Mango Lassi, Ginger cola, Ginger lemon, Sparkling blue and Virgin Mojito! And all of them were soo refreshing specially the sparkling blue and the ginger cola! 👌🏻 Next we had the soups, we were served the lemon coriander soup and the chicken manchow soup! They were good! And next came the starters and we had the Apollo fish, Chilli prawns, Tender chicken, Bangla Kodi, Corn 65, and Crispy veg! The best and the must have dish among them was the TENDER CHICKEN! The chicken pieces were really fleshy and juicy which were well marinated and fried with breadcrumbs! It was both Tender and crispy at the same time! Really enjoyed this dish! And the Bangla Kodi, a dish which was very new to us! It was something very unique tasty and spicy! It is made with baked potatoes with chicken filling and then it is deeply fried! You definitely should try this if you haven't! Crispy veg made with the flour batter mixed with different veggies like onion carrots etc tasted yumm! And corn 65 was amazing! Soo delectable and tasty and a completely different kind of experience for a person who have always had chicken 65! 😂The sea food was a little here and there.. Prawns were a little salty and the fish wasn't cooked really well...soo there's a room for improvement when it comes to the sea food! But they have covered it all up with their DELICIOUS BIRYANIS!😍 A complete delight to your eyes and to your taste buds as well! We had the Ulavacharu Chicken Biryani, Chicken Avakai Biryani and Chicken Afghani Biryani! Totally totally worth the money and just the Best ❤ Ulavacharu biryani made of the spices from Horse gram has that khatta meetha taste in it making it soo soo damn awesome! It is said that Ulavacharu gives heat to your body soo don't forget to have some curd, yoghurt or the raita to make it even! And then there was this Chicken Avakai Biryani, yet another mindblowing taste! Avakai means Mango..and this Biryani is made from the spices of Mango...it had the taste of the mango pickle! Never had we imagined that we'd ever be eating chicken biryani with the taste of Mango pickle! 😍😍 Then came the Afghani biryani...it's just the opposite of Ulavacharu and Avakai when it comes to the spicy level! Really flavourful and palatable biryani served with an omelette on top! Believe us if you're a Biryani lover then this place should be definitely be in Your list! I'm gonna go back again for the Biryani! ❤ the other main course included Naan basket with Chicken tikka masala and Chicken chettinadu! As you must be knowing Chicken Chettinadu a popular dish from Tamil Nadu is a very spicy dish and yet very tasty! And here at biryanis and more they have kept up with that level of spicy-ness and also the Taste! Soo the main course here is the real stunner! Next we had the desserts...ever wished to be Ganesh Gaitonde? 😂 You definitely do not want that life! But yes You can enjoy the same dessert which he just LOVES! The Kharvas also called as Junnu is an Indian milk pudding and it is made from the colostrum of the cow! We don't know how the actual taste of the Junnu is as we never had it before but yes here at biryanis and more the taste was Superb! 😍 You ought to have this dessert to get that Gaitonde feels! Next in line were the Gulab Jamun and Qubani ka meetha, the presentation of the desserts isn't really appealing soo the hotel management should definitely look after that and make some changes but the taste was good! 👍🏻
Soo if You love to enjoy a variety in Biryani then Biryanis and more should be Your next stop! 😍 You're going to love it",1
"I'm so disappointed in SanDisk. I bought this for my Galaxy S3 phone. Worked great for the first few months. Suddenly I noticed some pictures were missing. Then it kept giving me an error that the 'SD card has unexpectedly stopped working' then i tried popping out the card and popping it back in. Now it says unrecognizable files and it asks to format the mp3's I had bought and stored on the microsd card. In a pinch just to see if this would fix my issues I formatted the disc. Now I lost everything and it is still giving me issues. Read some similar issues from other customers, now I'm regretting my purchase. Save your money and headaches and buy something else!",0
Extremely rude staff and costing like anything if u see there place and food ur going to feel like why the hell you are here.food quality 0/5,0
"PERFECT,NO COMPLAINTS,USED AS A VIDEO CARD,ALMOST 5 HOURS OF VIDEO ON THIS LITTLE PIECE OF S,,,,,,,, HA I REMEMBER THE VHS TAPE,ARE WE GETTING CRAZY?",1
"I am waiting for 25 mint. Staff this is eignor i tollk to not care. I am regular customer

Last bling time very very pathetic experience. Customers we have don't talk me. We have respect for guests. You have caser not respected. I am customer..plz plz plz manager be careful to the caser we not have respected hin very pathetic bave. I am regular customer. Last and fast",0
"Pour House 7 is very easy to locate as it is around half a kilometre away from IKEA. It is on the fourth floor if the building.

AMBIENCE -
It gives you best of both worlds. It has rooftop seatings and an air conditioned seating. The ambience is very sassy. It is surely a party place.

FOOD -

•MOCKTAILS-
I tried flavoured Mojito, Virgin Mojito, PH7 special Mojito, Pina Colada and Sweet Sunrise. All the mocktails were flavourful, beautiful and refreshing. My personal favourite was Sweet Sunrise.

•STARTERS AND SALAD
I tried Kung Pao Chicken, Crispy Corn, Stir Fried Vegetables, Veg Spring Salad and Spicy Black Pin.

Kung Pao Chicken: The chicken was well cooked and most importantly, it wasn't bland. The spices were just right for a person like me who prefers spicy food. The dish also included honey so it tasted slightly sweet which took the dish on another level. 🆙 Definitely a must try!

Spicy Black Pin: It was kinda similar to Kung pao chicken but was grilled and wasn't sweet. It tasted nice.

Crispy Corn: It was sweet and crispy. Presentation was on point. 👌

Stir Fried Vegetables: The vegetables were cooked properly and the spices were complimenting the vegetables.

Veg Spring Salad: It was very tasty and healthy. The coating of the salad was bringing the best taste of the veggies.

•MAIN COURSE-
I tried Chicken Alfredo Pasta, Sicilian Pizza, Paneer Tikka Masala, Naan, Butter Chicken and 7H Biryani.

Chicken Alfredo Pasta: It was creamy and absolutely delicious. The chicken was very well cooked. Loved it!

Sicilian Pizza: It was loaded with veggies and the amount of cheese was okay. I'm not a "" too much Cheese"" person so it tasted good. Also, you can ask the staff to put more cheese.

Paneer tikka masala: It was spicy and flavourful. The paneer was soft and tender. Very well made 👌

Butter Chicken: The chicken was tender and juicy. The gravy was very rich. Loved it✨

Naan: Perfectly made👌

7H Biryani: It had lip smacking flavours. The presentation was on a whole new level.👌 It was enclosed in omelette. The chicken was flavourful and the basmati rice and tender and tasty. HIGHLY RECOMMENDED!

All in all: 5/5

Pour House 7 is definitely my go to place now. 🙌✨",1
"Had a good lunch buffet in your hotel. Very polite and supportive staff, enjoyed every dish pver here , especially Salim , who helped us with everything.",1
The staff was very polite. Food was really extraordinary. With no hesitation I would love to visit this place n number of times. I would suggest everyone to have visit over there .,1
the worst ever,0
"We ordered corn cheese balls, manchow soup and paneer shashlik sizzler. The sizzler was stale. Paneer was smelling and the waiter was so impolite to even accept the mistake. Never going again",0
Great item. Runs a lot faster then the cheap ones and still a really good price. Worth the extra money,1
No wafers sent with the burger,0
"Had ordered veg pulao & rajma, it didn't seem fresh .. however I consumed it & couldn't sleep whole night because of vommiting & loose motion.
Will never order food from eat.fit again.",0
